 TCU	10	 Texas Tech	20
 Tulane	24	 LA Tech	15
 Troy	34	 Arkansas State	41
 Air Force	20	 Boise State	42
 Cal Poly	17	 Colorado State	34
 Delaware	7	 Navy	51
 Vanderbilt	25	 South Carolina	35
 Boston College	7	 USC	35
 Washington	34	 Illinois	24
 Southern Miss	3	 Arkansas	24
 UL Monroe	21	 Wake Forest	19
 Bowling Green	10	 Indiana	42
 Stony Brook	23	 Buffalo	26
 Ball State	27	 North Texas	34
 Notre Dame	31	 Purdue	24
 Kent State	13	 LSU	45
 Bethune-Cookman	34	 FIU	13
 Miss St	20	 Auburn	24
 Fordham	30	 Temple	29
 Georgia State	7	 West Virginia	41
 W Michigan	17	 Northwestern	38
 W Kentucky	24	 South Alabama	31
 FAU	28	 USF	10
 Youngstown St	17	 Michigan State	55
 Ole Miss	44	 Texas	23
 New Mexico	27	 Pitt	49
 Lamar	3	 Oklahoma State	59
 Cent Michigan	21	 UNLV	31
 Wagner	0	 Syracuse	54
 Southern Utah	10	 Washington St	48
 Northwestern St	9	 Cincinnati	66
 N Colorado	7	 Wyoming	35
 Akron	24	 Michigan	28
 UTSA	13	 Arizona	38
 Nicholls State	7	 LA-Lafayette	70
 N Illinois	45	 Idaho	35
 Georgia Tech	38	 Duke	14
 E Washington	21	 Toledo	33
 VT	15	 ECU	10
 UMass	7	 Kansas State	37
 UCLA	41	 Nebraska	21
 Memphis	15	 Mid Tennessee	17
 Alabama	49	 Texas A&M	42
 Oregon State	51	 Utah	48
 Marshall	31	 Ohio	34
 UTEP	42	 New Mexico St	21
 Maryland	32	 UConn	21
 OSU	52	 Cal	34
 Stanford	34	 Army	20
 UCF	34	 Penn State	31
 Louisville	27	 Kentucky	13
 Tennessee	14	 Oregon	59
 W Illinois	12	 Minnesota	29
 E Michigan	10	 Rutgers	28
 Nevada	7	 FSU	62
 Wisconsin	30	 Arizona State	32
 Iowa	27	 Iowa State	21
 Kansas	14	 Rice	23
 Tulsa	20	 Oklahoma	51
 Weber State	6	 Utah State	70
 Clemson	26	 North Carolina St	14
 Boise State	40	 Fresno State	41
 Maine	21	 Northwestern	35
 Pitt	58	 Duke	55
 Mid Tennessee	42	 FAU	35
 Idaho State	0	 Washington	56
 Marshall	21	 VT	29
 Toledo	38	 Cent Michigan	17
 Bethune-Cookman	6	 FSU	54
 Tulane	17	 Syracuse	52
 San Jose State	24	 Minnesota	43
 Florida A&M	0	 OSU	76
 South Dakota St	20	 Nebraska	59
 Houston	31	 Rice	26
 Oregon State	34	 San Diego State	30
 W Michigan	3	 Iowa	59
 UL Monroe	7	 Baylor	70
 Michigan State	13	 Notre Dame	17
 Morgan State	17	 W Kentucky	58
 Utah	20	 BYU	13
 UNC	20	 Georgia Tech	28
 Cincinnati	14	 Miami (OH)	0
 LA Tech	10	 Kansas	13
 VMI	0	 UVA	49
 Purdue	10	 Wisconsin	41
 Vanderbilt	24	 UMass	7
 Auburn	21	 LSU	35
 Northwestern St	28	 UAB	52
 New Mexico St	13	 UCLA	59
 Savannah State	7	 Miami (FL)	77
 UTSA	32	 UTEP	13
 E Illinois	39	 N Illinois	43
 Kent State	0	 Penn State	34
 Texas State	7	 Texas Tech	33
 North Texas	21	 Georgia	45
 Wyoming	56	 Air Force	23
 Arizona State	28	 Stanford	42
 W Illinois	7	 UNLV	38
 LA-Lafayette	35	 Akron	30
 Hawaii	9	 Nevada	31
 Utah State	14	 USC	17
 Idaho	0	 Washington St	42
 SMU	13	 Texas A&M	42
 Colorado State	6	 Alabama	31
 Michigan	24	 UConn	21
 Austin Peay	0	 Ohio	38
 Wake Forest	25	 Army	11
 Jacksonville St	32	 Georgia State	26
 Ball State	51	 E Michigan	20
 West Virginia	0	 Maryland	37
 Arkansas State	7	 Memphis	31
 Arkansas	24	 Rutgers	28
 Murray State	7	 Bowling Green	48
 FIU	0	 Louisville	72
 Tennessee	17	 Florida	31
 Troy	7	 Miss St	62
 Kansas State	21	 Texas	31
 Missouri	45	 Indiana	28
 Iowa State	38	 Tulsa	21
 VT	17	 Georgia Tech	10
 Utah State	40	 San Jose State	12
 Mid Tennessee	10	 BYU	37
 UAB	24	 Vanderbilt	52
 Wisconsin	24	 OSU	31
 FSU	48	 Boston College	34
 Navy	7	 W Kentucky	19
 Iowa	23	 Minnesota	7
 South Carolina	28	 UCF	25
 Fresno State	42	 Hawaii	37
 South Alabama	24	 Tennessee	31
 Southern Miss	7	 Boise State	60
 Akron	14	 Bowling Green	31
 Houston	59	 UTSA	28
 Oklahoma State	21	 West Virginia	30
 Cent Michigan	14	 North Carolina St	48
 Arkansas State	19	 Missouri	41
 Temple	24	 Idaho	26
 Troy	31	 Duke	38
 Cal	16	 Oregon	55
 Toledo	24	 Ball State	31
 ECU	55	 UNC	31
 Miami (OH)	14	 Illinois	50
 UTEP	42	 Colorado State	59
 Stanford	55	 Washington St	17
 UConn	12	 Buffalo	41
 Arizona	13	 Washington	31
 Texas A&M	45	 Arkansas	33
 Wake Forest	7	 Clemson	56
 LSU	41	 Georgia	44
 Wyoming	21	 Texas State	42
 Ole Miss	0	 Alabama	25
 Army	35	 LA Tech	16
 Oklahoma	35	 Notre Dame	21
 SMU	17	 TCU	48
 Tulane	31	 UL Monroe	14
 N Illinois	55	 Purdue	24
 Kent State	32	 W Michigan	14
 Miami (FL)	49	 USF	21
 Colorado	17	 Oregon State	44
 UNLV	56	 New Mexico	42
 UVA	3	 Pitt	14
 San Diego State	26	 New Mexico St	16
 Air Force	42	 Nevada	45
 FAU	14	 Rice	18
 Florida	24	 Kentucky	7
 USC	41	 Arizona State	62
 Texas	31	 Iowa State	30
 UCLA	34	 Utah	27
 W Kentucky	31	 UL Monroe	10
 BYU	31	 Utah State	14
 Nevada	44	 San Diego State	51
 North Texas	21	 Tulane	24
 South Alabama	33	 Troy	34
 TCU	17	 Oklahoma	20
 FAU	37	 UAB	23
 Cent Michigan	21	 Miami (OH)	9
 Ohio	43	 Akron	3
 Ball State	48	 UVA	27
 New Mexico St	17	 New Mexico	66
 Air Force	10	 Navy	28
 UCF	24	 Memphis	17
 LSU	59	 Miss St	26
 FIU	24	 Southern Miss	23
 Georgia Tech	30	 Miami (FL)	45
 Texas Tech	54	 Kansas	16
 Penn State	24	 Indiana	44
 N Illinois	38	 Kent State	24
 Rutgers	55	 SMU	52
 Arkansas	10	 Florida	30
 Georgia	34	 Tennessee	31
 LA Tech	38	 UTEP	35
 Oregon	57	 Colorado	16
 Kansas State	29	 Oklahoma State	33
 Washington	28	 Stanford	31
 W Michigan	20	 Toledo	47
 Rice	30	 Tulsa	27
 OSU	40	 Northwestern	30
 San Jose State	37	 Hawaii	27
 Fresno State	61	 Idaho	14
 Texas State	24	 LA-Lafayette	48
 Georgia State	3	 Alabama	45
 Maryland	0	 FSU	63
 ECU	24	 Mid Tennessee	17
 Washington St	44	 Cal	22
 Ole Miss	22	 Auburn	30
 Louisville	30	 Temple	7
 Michigan State	26	 Iowa	14
 Missouri	51	 Vanderbilt	28
 UMass	7	 Bowling Green	28
 Army	27	 Boston College	48
 Minnesota	13	 Michigan	42
 UTSA	10	 Marshall	34
 Illinois	19	 Nebraska	39
 North Carolina St	13	 Wake Forest	28
 E Michigan	14	 Buffalo	42
 Cincinnati	20	 USF	26
 Arizona State	34	 Notre Dame	37
 UNC	17	 VT	27
 West Virginia	42	 Baylor	73
 Kentucky	28	 South Carolina	35
 Clemson	49	 Syracuse	14
 Rutgers	10	 Louisville	24
 Arizona	31	 USC	38
 San Diego State	27	 Air Force	20
 Temple	20	 Cincinnati	38
 Mid Tennessee	7	 North Texas	34
 Stanford	21	 Utah	27
 UVA	26	 Maryland	27
 Alabama	48	 Kentucky	7
 Oklahoma	20	 Texas	36
 Nebraska	44	 Purdue	7
 Cent Michigan	26	 Ohio	23
 New Mexico	31	 Wyoming	38
 Akron	20	 N Illinois	27
 Michigan	40	 Penn State	43
 Florida	6	 LSU	17
 Oregon State	52	 Washington St	24
 Northwestern	6	 Wisconsin	35
 Rice	27	 UTSA	21
 Missouri	41	 Georgia	26
 Kent State	24	 Ball State	27
 ECU	33	 Tulane	36
 Boston College	14	 Clemson	24
 Indiana	28	 Michigan State	42
 Baylor	35	 Kansas State	25
 Hawaii	37	 UNLV	39
 Cal	10	 UCLA	37
 Kansas	17	 TCU	27
 USF	13	 UConn	10
 Miami (OH)	10	 UMass	17
 San Jose State	34	 Colorado State	27
 Boise State	34	 Utah State	23
 Syracuse	24	 North Carolina St	10
 Idaho	24	 Arkansas State	48
 Texas A&M	41	 Ole Miss	38
 W Carolina	3	 Auburn	62
 Buffalo	33	 W Michigan	0
 South Carolina	52	 Arkansas	7
 UAB	27	 FIU	24
 Oregon	45	 Washington	24
 UL Monroe	21	 Texas State	14
 Tulsa	34	 UTEP	20
 Iowa State	35	 Texas Tech	42
 Navy	7	 Duke	35
 Marshall	24	 FAU	23
 Memphis	15	 Houston	25
 Georgia Tech	20	 BYU	38
 Colorado	13	 Arizona State	54
 Pitt	9	 VT	19
 E Michigan	25	 Army	50
 Troy	35	 Georgia State	28
 Bowling Green	20	 Miss St	21
 LA-Lafayette	37	 W Kentucky	20
 Miami (FL)	27	 UNC	23
 UCF	38	 Louisville	35
 Georgia	27	 Vanderbilt	31
 Iowa	24	 OSU	34
 Purdue	0	 Michigan State	14
 Texas Tech	37	 West Virginia	27
 Maryland	10	 Wake Forest	34
 UConn	16	 Cincinnati	41
 Iowa State	7	 Baylor	71
 Arkansas	0	 Alabama	52
 UMass	3	 Buffalo	32
 Auburn	45	 Texas A&M	41
 Duke	35	 UVA	22
 LSU	24	 Ole Miss	27
 Rice	45	 New Mexico St	19
 UCLA	10	 Stanford	24
 USC	10	 Notre Dame	14
 N Illinois	38	 Cent Michigan	17
 Utah State	45	 New Mexico	10
 Ball State	38	 W Michigan	17
 BYU	47	 Houston	46
 Colorado State	52	 Wyoming	22
 Washington St	38	 Oregon	62
 Charleston So	10	 Colorado	43
 TCU	10	 Oklahoma State	24
 SMU	34	 Memphis	29
 Nevada	17	 Boise State	34
 UNLV	14	 Fresno State	38
 Navy	44	 Toledo	45
 Oregon State	49	 Cal	17
 Oklahoma	34	 Kansas	19
 Army	14	 Temple	33
 South Carolina	21	 Tennessee	23
 Washington	24	 Arizona State	53
 Minnesota	20	 Northwestern	17
 Utah	24	 Arizona	35
 Indiana	47	 Michigan	63
 Southern Miss	14	 ECU	55
 Kent State	21	 South Alabama	38
 Ohio	56	 E Michigan	28
 Syracuse	0	 Georgia Tech	56
 North Texas	28	 LA Tech	13
 Georgia State	17	 Texas State	24
 Wisconsin	56	 Illinois	32
 FSU	51	 Clemson	14
 Akron	24	 Miami (OH)	17
 Old Dominion	24	 Pitt	35
 Florida	17	 Missouri	36
 LA-Lafayette	23	 Arkansas State	7
 Kentucky	22	 Miss St	28
 Marshall	49	 Mid Tennessee	51
 Boise State	20	 BYU	37
 Georgia State	10	 UL Monroe	38
 LA Tech	23	 FIU	7
 Toledo	28	 Bowling Green	25
 West Virginia	12	 Kansas State	35
 Nebraska	23	 Minnesota	34
 Penn State	14	 OSU	63
 Texas	30	 TCU	7
 Fresno State	35	 San Diego State	28
 UConn	17	 UCF	62
 UNLV	27	 Nevada	22
